id,struct
480,bct
481,MM
482,ORB2/3
483,STRv
484,SCig-a
485,CA3sp
486,DP1
487,VIS6b
488,BSTam
489,cct
490,MO
491,VISpm4
492,SUB
493,SCig-b
494,CA3sr
495,BSTdm
496,das
497,MOB
498,ENTm2b
499,SUBd
500,SSp-ll6b
501,SCig-c
502,CB
503,BSTfu
504,dc
505,MPN
506,ORB6b
507,TR1-3
508,SUBv
509,CBN
510,AUDv6a
511,BSTmg
512,dcm
513,MPO
514,ORBm2
515,SUM
516,ENTm1
517,AUDd1
518,CBX
519,BSTv
520,df
521,MPT
522,PTLp1
523,VISpm
524,SUT
525,DP2
526,CEA
527,BSTal
528,lotd
529,MRNm
530,PERI1
531,TEa
532,RSPv1
533,ENTm2
534,CEAc
535,RSPd4
536,BSTju
537,dlf
538,MRNmg
539,TH
540,ENTm5/6
541,CEAl
542,PRNv
543,sctd
544,BSTov
545,MRNp
546,ILA2/3
547,TM
548,SSp-n1
549,CEAm
550,CNspg
551,VIS2/3
552,BSTrh
553,dtt
554,MS
555,VISpm5
556,TR
557,CH
558,ACVI
559,BSTd
560,dl
561,MTN
562,ACA1
563,VISl4
564,TRN
565,CL
566,ACVII
567,SSp-ul4
568,BSTpr
569,ec
570,NB
571,TRS
572,ORBm2/3
573,CLA
574,COApl1-2
575,BSTif
576,fpr
577,ND
578,ACAv1
579,TT
580,RSPv6a
581,CLI
582,COApm1-2
583,VISp1
584,BSTtr
585,fr
586,NDB
587,TTd
588,AUDv6b
589,CM
590,AUDd2/3
591,VISal6a
592,BSTse
593,fi
594,NI
595,TTv
596,RSPv2
597,CN
598,ORBvl6a
599,SPA
600,RSPd5
601,hbc
602,NLL
603,VISl5
604,TU
605,SNl
606,CUN
607,MDc
608,hc
609,NLOT
610,ORBm5
611,V
612,RSPv6b
613,CNU
614,IPF
615,SSp-ul5
616,MDl
617,hht
618,NOT
619,VAL
620,ORBl5
621,COA
622,DG-sg
623,cic
624,NPC
625,PTLp4
626,MDm
627,VENT
628,GU6a
629,COAa
630,EV
631,ias
632,NTB
633,AUDpo2/3
634,MO6a
635,VERM
636,DP5
637,COAp
638,MOp5
639,VISal6b
640,jrb
641,NTS
642,PVHpml
643,VI
644,SSp-n4
645,COApl
646,MOs1
647,SSp-m2/3
648,ll
649,NTSce
650,PVHpmm
651,VII
652,GU6b
653,COApm
654,ENTm3
655,lot
656,NTSco
657,FRP2/3
658,DMHa
659,VIS
660,SSp-tr2/3
661,RSPagl1
662,CP
663,mp
664,NTSge
665,AIv6a
666,DMHp
667,VISC
668,AUDd4
669,CS
670,ORBvl6b
671,mtg
672,NTSl
673,PTLp5
674,DMHv
675,VM
676,SSp6a
677,RSPv5
678,CTX
679,VLPO
680,mtt
681,NTSm
682,PERI5
683,VMH
684,AIv2/3
685,CTXpl
686,AUDpo1
687,ml
688,OLF
689,AIv6b
690,AHNa
691,VNC
692,SSp-n5
693,CTXsp
694,AIv1
695,mtV
696,OP
697,ILA1
698,AHNc
699,VP
700,VIn
701,CU
702,ENTm4
703,per
704,ORB
705,ENTl2a
706,AHNd
707,XIn
708,VPL
709,SSp6b
710,DCN
711,VISp4
712,pvbt
713,ORBl
714,AHNp
715,VPLpc
716,DG
717,ENTm5
718,arb
719,TEa6a
720,PIS
721,ORBm
722,MMme
723,VPM
724,DGcr
725,AUDp1
726,ctb
727,fxpo
728,ORBv
729,ACA5
730,MPNc
731,VPMpc
732,DGcr-mo
733,ENTm6
734,cbc
735,fxprg
736,ORBvl
737,ILA2
738,MPNl
739,VTA
740,VISpl1
741,DGcr-po
742,cbp
743,pm
744,OT
745,AUDv2/3
746,MPNm
747,VTN
748,DGcr-sg
749,AUDpo4
750,epsc
751,VMHa
752,phpd
753,OV
754,ENTl2b
755,x
756,DGlb
757,MOs5
758,mfbc
759,VMHc
760,phpl
761,P
762,ACAv5
763,XII
764,RSPagl5
765,DGlb-mo
766,cc
767,VMHdm
768,VISp5
769,phpm
770,PA
771,y
772,DGlb-po
773,AId6a
774,cst
775,VMHvl
776,TEa6b
777,phpv
778,PAA
779,z
780,DGlb-sg
781,AUDpo5
782,drt
783,SSp1
784,sptV
785,PAG
786,A13
787,ZI
788,VIIn
789,DGmb
790,AIv5
791,VIS1
792,sm
793,PAL
794,FF
795,VISpm1
796,SSs2/3
797,DGmb-mo
798,IXn
799,PALc
800,ACAv6a
801,ICc
802,dscp
803,XIIn
804,DP
805,DGmb-po
806,AUDp4
807,supa
808,PALd
809,ACAv6b
810,ICd
811,VISp2/3
812,RHP
813,DGmb-sg
814,mfsbshy
815,supd
816,PALm
817,ILA5
818,ICe
819,SUBd-m
820,DMH
821,AId6b
822,IIIn
823,supv
824,SCzo
825,PALv
826,ECT1
827,SUBd-sr
828,SSp-n2/3
829,DMX
830,In
831,tb
832,SCsg
833,PAR
834,MOp6a
835,SUBd-sp
836,DN
837,AUDp5
838,IIn
839,VISC6b
840,uf
841,SCop
842,PARN
843,SUBv-m
844,SSp-ul2/3
845,rst
846,DORpm
847,VISC6a
848,vc
849,PAS
850,PBlc
851,SUBv-sr
852,SSs6a
853,rust
854,DORsm
855,SSp4
856,sctv
857,PB
858,PBld
859,VISpl4
860,SUBv-sp
861,sst
862,DR
863,SSs1
864,PBG
865,PBle
866,aot
867,tsp
868,SSp-m1
869,RSPd
870,DTN
871,PBl
872,MOp6b
873,PBls
874,amc
875,tn
876,RSPv
877,ECO
878,PERI2/3
879,SSp-n6a
880,PBm
881,PBlv
882,apd
883,SSs6b
884,RSPagl
885,ECT
886,lfbst
887,VISC1
888,PCG
889,PBme
890,aco
891,Vn
892,VISpl5
893,ECU
894,MSC
895,VISal2/3
896,RSPagl6a
897,PCN
898,act
899,ENT
900,ORBm6a
901,IVn
902,LING
903,VIS4
904,PD
905,PBmm
906,bsc
907,Xn
908,ENTl
909,ACAd6a
910,CENT
911,SSp5
912,PERI
913,PBmv
914,cpd
915,vrt
916,ENTm
917,ACAd6b
918,CUL
919,SSp-n6b
920,PF
921,PG
922,cett
923,VIIIn
924,ENTmv
925,ACAd1
926,DEC
927,VIS5
928,PGRN
929,AMBd
930,cing
931,vsp
932,EP
933,MOp2/3
934,FOTU
935,SSp-ul6a
936,PH
937,MO6b
938,cVIIIn
939,von
940,SSp-m4
941,PYR
942,EPd
943,PIN
944,AUDp6a
945,LRNm
946,fa
947,UVU
948,EPI
949,AUDv1
950,cbf
951,PIR
952,MOs2/3
953,LRNp
954,ee
955,RSPagl2/3
956,EPv
957,cm
958,NOD
959,ORBvl1
960,PGRNd
961,fp
962,PL
963,VISl2/3
964,SSp-m5
965,EW
966,CENT2
967,ECT6a
968,PGRNl
969,ccr
970,PMd
971,SSp-bfd1
972,FC
973,lfbs
974,CENT3
975,MOp
976,ccs
977,P-mot
978,ECT5
979,FN
980,AUDv4
981,mfbs
982,CUL4
983,MOs
984,cbt
985,PMR
986,AId1
987,root
988,FS
989,ENTl2/3
990,eps
991,CUL5
992,AUDp
993,cpt
994,PMv
995,AUDp6b
996,SSp-tr1
997,SIM
998,GENd
999,fiber tracts
1000,VISC4
1001,AUDd
1002,crt
1003,GENv
1004,ACAd5
1005,onl
1006,AN
1007,AUDv
1008,cstc
1009,PO
1010,MOs6a
1011,GPe
1012,AUDv5
1013,grv
1014,PRM
1015,SSp-ul6b
1016,AUDpo
1017,cstu
1018,POL
1019,SSp-ll1
1020,GPi
1021,grv of CTX
1022,COPY
1023,TTd1
1024,SSs4
1025,cte
1026,POST
1027,SSp-bfd6a
1028,GR
1029,grv of CBX
1030,PFL
1031,TTd2
1032,tspc
1033,PP
1034,ECT6b
1035,VISam6a
1036,SSp-bfd4
1037,GRN
1038,FL
1039,TTd3
1040,tspd
1041,PPN
1042,ACA2/3
1043,ILA6a
1044,eg
1045,ANcr1
1046,GU
1047,VISC5
1048,TTd4
1049,dtd
1050,PPT
1051,SSp-bfd6b
1052,hf
1053,ANcr2
1054,HB
1055,VISam2/3
1056,TTv1
1057,mfbst
1058,PPY
1059,SSp-bfd5
1060,rf
1061,MGd
1062,HEM
1063,VISal1
1064,TTv2
1065,cvb
1066,PR
1067,ri
1068,MGv
1069,HIP
1070,ILA6b
1071,TTv3
1072,mfbse
1073,PRE
1074,MOs6b
1075,SSp-tr4
1076,pce
1077,MGm
1078,HPF
1079,SSs5
1080,"CUL4, 5"
1081,em
1082,PRNc
1083,SSp-ll4
1084,pcf
1085,AMd
1086,HY
1087,MDRNd
1088,fxs
1089,PRT
1090,AId5
1091,SSp-m6a
1092,pri
1093,AMv
1094,IA
1095,VISC2/3
1096,MDRNv
1097,ccg
1098,PS
1099,SUMl
1100,SSp-tr5
1101,psf
1102,IAD
1103,VISal4
1104,gVIIn
1105,P-sat
1106,SUMm
1107,ppf
1108,IAM
1109,ENTl1
1110,icp
1111,PSCH
1112,ORBvl5
1113,TMd
1114,TEa2/3
1115,SSp-ll5
1116,IB
1117,iVIIn
1118,P-sen
1119,ENTmv5/6
1120,NLOT3
1121,TR1
1122,TR2
1123,TR3
1124,CBXgr
1125,CBXmo
1126,CBXpu
1127,ME
1128,SIMgr
1129,SIMpu
1130,SIMmo
1131,ANcr1gr
1132,ANcr1pu
1133,ANcr1mo
1134,ANcr2gr
1135,ANcr2pu
1136,ANcr2mo
1137,PRMgr
1138,PRMpu
1139,PRMmo
1140,COPYgr
1141,COPYpu
1142,COPYmo
1143,PFLgr
1144,PFLpu
1145,PFLmo
1146,FLgr
1147,FLpu
1148,FLmo
1149,PAR1
1150,PAR2
1151,PAR3
1152,POST1
1153,POST2
1154,POST3
1155,PRE1
1156,PRE2
1157,PRE3
1158,DG-sgz
1159,DG-mo
1160,DG-po
1161,LINGgr
1162,LINGpu
1163,LINGmo
1164,CENT2gr
1165,CENT2pu
1166,CENT2mo
1167,CENT3gr
1168,CENT3pu
1169,CENT3mo
1170,CUL4gr
1171,CUL4pu
1172,CUL4mo
1173,CUL5gr
1174,CUL5pu
1175,CUL5mo
1176,"CUL4, 5gr"
1177,"CUL4, 5pu"
1178,"CUL4, 5mo"
1179,DECgr
1180,DECpu
1181,DECmo
1182,FOTUgr
1183,FOTUpu
1184,FOTUmo
1185,PYRgr
1186,PYRpu
1187,PYRmo
1188,UVUgr
1189,UVUpu
1190,UVUmo
1191,NODgr
1192,NODpu
1193,NODmo
1194,SS1
1195,SS2/3
1196,SS4
1197,SS5
1198,SS6a
1199,SS6b
1200,SSp-un
1201,SSp-un1
1202,SSp-un2/3
1203,SSp-un4
1204,SSp-un5
1205,SSp-un6a
1206,SSp-un6b
1207,retina
1208,VISa
1209,VISa1
1210,VISa2/3
1211,VISa4
1212,VISa5
1213,VISa6a
1214,VISa6b
1215,VISli
1216,VISli1
1217,VISli2/3
1218,VISli4
1219,VISli5
1220,VISli6a
1221,VISli6b
1222,VISrl1
1223,VISrl2/3
1224,VISrl4
1225,VISrl5
1226,VISrl6a
1227,VISrl6b
1228,VISpor
1229,VISpor1
1230,VISpor2/3
1231,VISpor4
1232,VISpor5
1233,VISpor6a
1234,VISpor6b
1235,VISrll
1236,VISrll1
1237,VISrll2/3
1238,VISrll4
1239,VISrll5
1240,VISrll6a
1241,VISrll6b
1242,VISlla
1243,VISlla1
1244,VISlla2/3
1245,VISlla4
1246,VISlla5
1247,VISlla6a
1248,VISlla6b
1249,VISmma
1250,VISmma1
1251,VISmma2/3
1252,VISmma4
1253,VISmma5
1254,VISmma6a
1255,VISmma6b
1256,VISmmp
1257,VISmmp1
1258,VISmmp2/3
1259,VISmmp4
1260,VISmmp5
1261,VISmmp6a
1262,VISmmp6b
1263,VISm
1264,VISm1
1265,VISm2/3
1266,VISm4
1267,VISm5
1268,VISm6a
1269,VISm6b
1270,ProS
1271,ProSd
1272,ProSd-m
1273,ProSd-sp
1274,ProSd-sr
1275,ProSv
1276,ProSv-m
1277,ProSv-sp
1278,Prosv-sr
1279,APr
1280,scwm
1281,ccb
1282,or
1283,ar
1284,stc
1285,LGd-sh
1286,LGd-co
1287,LGd-ip
1288,FRP5
1289,FRP6a
1290,FRP6b
1291,ORBm6b
1292,LSS
1293,RPF
1294,InCo
1295,MA3
1296,P5
1297,Acs5
1298,PC5
1299,I5
1300,Eth
1301,REth
1302,Xi
1303,PIL
1304,PoT
1305,IntG
1306,VMPO
1307,PeF
1308,HATA
1309,Pa5
1310,VeCB
1311,SCO
1312,PDTg
1313,MMl
1314,MMm
1315,MMp
1316,MMd
1317,Pa4
1318,PN
1319,IPR
1320,IPC
1321,IPA
1322,IPL
1323,IPI
1324,IPDM
1325,IPDL
1326,IPRL
1327,Su3
